WKT,highway,name,oneway,lanes,maxspeed,service,ref,turn:lanes,surface,foot,bicycle,horse,maxspeed:type,access,segregated,lanes:backward,lanes:forward,junction,crossing,crossing_ref,cycleway,route,route_name,route_pref_color,lit,turn:lanes:backward,turn:lanes:forward
"LINESTRING (-1.683463 53.8058294,-1.6834383 53.8057267,-1.6833868 53.8056424,-1.6833027 53.8055478,-1.6829091 53.805199,-1.682403 53.8047506,-1.6820198 53.8044042,-1.6815465 53.8040358,-1.6809154 53.8036856,-1.6805739 53.8034933,-1.6804284 53.8034113,-1.679587 53.8030144,-1.6784752 53.8026299,-1.6772354 53.8023047,-1.6757259 53.8019817,-1.6740757 53.8017178,-1.6724827 53.801542,-1.6711742 53.8014516)",trunk,Stanningley Bypass,yes,2,70 mph,,A647,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.682723 53.8048331,-1.6834263 53.8054569)",trunk,Stanningley Bypass,yes,3,70 mph,,A647,left|through|right,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6938612 53.8019621,-1.6942798 53.8018054)",residential,Moorland Drive,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6995936 53.8019732,-1.6992213 53.802013,-1.6989005 53.8020792)",residential,Daleside Close,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6808936 53.8076481,-1.6799336 53.80764,-1.6799255 53.8077453,-1.6799001 53.8077937,-1.6798893 53.8078142,-1.679884 53.8079346,-1.6809784 53.8079543,-1.6812908 53.8079599,-1.6812959 53.8078135,-1.6813016 53.8076515)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6812959 53.8078135,-1.6799001 53.8077937)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6803448 53.8069661,-1.6803502 53.8068665)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6821705 53.806223,-1.6818098 53.8062727,-1.6816309 53.8062749,-1.6812348 53.806246,-1.6807351 53.8061836,-1.6806409 53.806174,-1.6799672 53.8061057,-1.6796615 53.8060728,-1.679347 53.8060389,-1.6792323 53.8060265,-1.6787515 53.8059747,-1.678377 53.8059344,-1.678127 53.8059075,-1.6777608 53.805868,-1.6769826 53.805788,-1.676627 53.8057514,-1.6764159 53.8057297,-1.676137 53.805701,-1.6755555 53.8056346,-1.6753613 53.8056142)",secondary,Bradford Road,,,30 mph,,B6157,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6792323 53.8060265,-1.6792127 53.8060895,-1.6791765 53.8062058,-1.6796026 53.8062459)",service,,,,,,,,,,,,,private,,,,,,,,,,,,,
"LINESTRING (-1.6810761 53.806669,-1.6809685 53.8067795,-1.6808359 53.8068725,-1.6806867 53.8069312,-1.6804961 53.8069679,-1.6803448 53.8069661,-1.6800817 53.806963,-1.6794289 53.806958,-1.678652 53.8069459)",residential,Dawsons Corner,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6800943 53.8060058,-1.6800974 53.8058888,-1.6796969 53.8058575)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6807351 53.8061836,-1.6807318 53.806253,-1.680724 53.8064148,-1.6807779 53.8065029,-1.6808566 53.8065842,-1.6810761 53.806669,-1.6813912 53.806755,-1.6816672 53.8068715,-1.6817595 53.8069539,-1.6819098 53.8070882,-1.6819963 53.8072615,-1.6820138 53.8073535,-1.6820171 53.8074303,-1.6819187 53.8076566,-1.6818026 53.8077851,-1.681497 53.8080407,-1.6814208 53.8081045,-1.680991 53.8084816,-1.6808644 53.8086554,-1.6807832 53.808822,-1.6807466 53.8089974,-1.6807418 53.8090429,-1.6807963 53.8094304,-1.6808414 53.8097251,-1.6809221 53.8100793,-1.6809855 53.8102249,-1.6810116 53.8102847,-1.6811745 53.8105336)",residential,Cote Lane,,2,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6819187 53.8076566,-1.6813016 53.8076515,-1.6808936 53.8076481,-1.6808947 53.8076055,-1.6808967 53.8075324,-1.6809043 53.8072567)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6821974 53.8074307,-1.6822497 53.8075574)",service,,,,,parking_aisle,,,,,,,,private,,,,,,,,,,,,,
"LINESTRING (-1.6824374 53.8073951,-1.6824937 53.8075175)",service,,,,,parking_aisle,,,,,,,,private,,,,,,,,,,,,,
"LINESTRING (-1.6830505 53.8071975,-1.6820138 53.8073535)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6822497 53.8075574,-1.6824937 53.8075175,-1.6827308 53.8074787,-1.6829541 53.8074422,-1.6831308 53.8074133)",service,,,,,parking_aisle,,,,,,,,private,,,,,,,,,,,,,
"LINESTRING (-1.6826802 53.8073634,-1.6827308 53.8074787)",service,,,,,parking_aisle,,,,,,,,private,,,,,,,,,,,,,
"LINESTRING (-1.6829028 53.8073333,-1.6829541 53.8074422)",service,,,,,parking_aisle,,,,,,,,private,,,,,,,,,,,,,
"LINESTRING (-1.6829595 53.8069846,-1.6826975 53.8070217,-1.682729 53.8070993,-1.6821523 53.8071808,-1.6820944 53.807038,-1.6826711 53.8069564,-1.6826975 53.8070217)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6831308 53.8074133,-1.6830946 53.8073222,-1.6830893 53.807288,-1.6830505 53.8071975,-1.682991 53.8070582,-1.6829595 53.8069846,-1.6828689 53.8067727,-1.6826918 53.8067991)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.682991 53.8070582,-1.6832045 53.8070262)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6832887 53.8072241,-1.6832045 53.8070262,-1.6831467 53.8068989)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6824174 53.8061889,-1.6823055 53.8062809,-1.682017 53.8065182,-1.6816672 53.8068715)",residential,Cote Lane,,2,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6836642 53.8061297,-1.6833131 53.8061139,-1.6828708 53.806116)",secondary,Bradford Road,yes,1,30 mph,,,,asphalt,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6828708 53.806116,-1.6830292 53.8060705,-1.683178 53.8060242,-1.683217 53.8060111,-1.6833303 53.805951,-1.6833792 53.805913,-1.6834391 53.8058633)",secondary,Bradford Road,yes,3,30 mph,,,"left|through|through;right",asphalt,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6836642 53.8061297,-1.6835989 53.8061149,-1.683567 53.8060992,-1.6834855 53.8060492,-1.6834327 53.8059799,-1.6834249 53.8059011,-1.6834391 53.8058633,-1.683463 53.8058294)",trunk,Dawsons Corner,yes,3,40 mph,,,"through|through;right|right",,,,,,,,,,roundabout,,,,,,,,,
"LINESTRING (-1.6834263 53.8054569,-1.6835445 53.8055933,-1.6836045 53.8056229,-1.6836973 53.8056678,-1.6838828 53.805723)",trunk,Stanningley Bypass,yes,2,,,A647,through|right,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6846015 53.8072899,-1.6844506 53.8070151,-1.684349 53.8068236)",trunk,Ring Road Farsley,,,60 mph,,A6120,,,,,,UK:nsl_single,,,1,2,,,,,,,,,,"left;through|through;right"
"LINESTRING (-1.684349 53.8068236,-1.6841983 53.8065395,-1.6841207 53.8063751)",trunk,Ring Road Farsley,,,60 mph,,A6120,,,,,,UK:nsl_single,,,1,3,,,,,,,,,,"left;through|through;right|right"
"LINESTRING (-1.6841207 53.8063751,-1.6839651 53.8062603,-1.6839157 53.8062229,-1.6838146 53.8061751,-1.6837223 53.8061386)",trunk,,yes,3,60 mph,,A6120,"left;through|through;right|right",,,,,UK:nsl_single,,,,,,,,,,,,,,
"LINESTRING (-1.6837223 53.8061386,-1.6838146 53.8061751,-1.6839157 53.8062229,-1.6839651 53.8062603,-1.6841207 53.8063751,-1.6840781 53.8061853,-1.6840744 53.8061283,-1.6841177 53.8060129)",,Leeds Outer Ring Road,,,,,,,,,,,,,,,,,,,,road,Leeds Outer Ring Road,0,,,
"LINESTRING (-1.6841336 53.8059811,-1.6841177 53.8060129,-1.6841027 53.8060283,-1.6840488 53.8060732,-1.6839544 53.8061163,-1.6838228 53.8061404,-1.6837223 53.8061386,-1.6836642 53.8061297)",trunk,Dawsons Corner,yes,3,40 mph,,,through|right|right,,,,,,,,,,roundabout,,,,,,,,,
"LINESTRING (-1.683463 53.8058294,-1.6835111 53.8057879,-1.6835723 53.805755,-1.6836722 53.8057251,-1.6837831 53.8057148,-1.6838828 53.805723,-1.6839424 53.8057366,-1.6840532 53.8057862,-1.6841119 53.8058392,-1.6841346 53.8058778,-1.6841437 53.8059451,-1.6841336 53.8059811,-1.6841177 53.8060129,-1.6841027 53.8060283,-1.6840488 53.8060732,-1.6839544 53.8061163,-1.6838228 53.8061404,-1.6837223 53.8061386,-1.6836642 53.8061297,-1.6835989 53.8061149,-1.683567 53.8060992,-1.6834855 53.8060492,-1.6834327 53.8059799,-1.6834249 53.8059011,-1.6834391 53.8058633,-1.683463 53.8058294)",,Leeds Outer Ring Road,,,,,,,,,,,,,,,,,,,,road,Leeds Outer Ring Road,0,,,
"LINESTRING (-1.6838949 53.8056686,-1.6836414 53.8055977,-1.6836045 53.8056229,-1.6834383 53.8057267,-1.6833062 53.8057624,-1.6832927 53.8058432,-1.6831855 53.8059477,-1.683178 53.8060242,-1.6833131 53.8061139,-1.6834134 53.8061473,-1.6837648 53.8062439,-1.6839157 53.8062229,-1.6840781 53.8061853,-1.6842557 53.8061077,-1.6844327 53.8059335,-1.6843511 53.805874,-1.6842798 53.8058083,-1.6840932 53.8057325,-1.6840438 53.8056911,-1.6838949 53.8056686)",cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,
